ID	Portrait	Text
VOICE_SCI_AMB3	7.1	"My colleges always would hypothesize what your end game is but now, I understand. "
VOICE_SCI_AXE	7.1	What a inelegent weapon.
VOICE_SCI_CAP1	7.4	Why am I the only one on this ship who knows how to work a computer? 
VOICE_SCI_CAP2	7.1	"SIID must die, it's a shame so much of my work will have gone to waste."
VOICE_SCI_DEATH_SLD1	7.3	We should burry her in the tome of the unskilled soldier.
VOICE_SCI_DEATH_SLD2	7.1	I Cant belive I wasted my time making her a new arm.
VOICE_SCI_DEATH_ENG	7.3	Finally that irritaing filth is gone.
VOICE_SCI_DEATH_NOVA	7.2	SIID destroyed NOVA? Pehaps it will do us a favour and kill Eddison too.
VOICE_SCI_O2	7.1	"You will not kill me so easily SIID, I created you and I WILL destroy you."
VOICE_SCI_DOOR	7.1	SIID seems to be using the bulkhead doors against us..hmm.Clever
VOICE_SCI_FEAR	7.2	"Fear is an unnecessary emotion,but we can't help it. No matter my determination it cannot be cut out. No one has been strong enough"
VOICE_SCI_FIRE1	7.2	"When there's a fire on the ship, usually it's a good idea to put it out. "
VOICE_SCI_FIRE2	7.1	"Tomyris stop smoking on the ship you addict, you're worse the Eddison."
VOICE_SCI_HACK	7.3	"NOVA is being controlled by SIID, how intresting."
VOICE_SCI_TERROR	7.2	FASTER YOU FOOLS! Disable the C.A.P’s before SIID kills us all
VOICE_SLD_AMB1	2.2	None of you would have survived boot camp. 
VOICE_SLD_AMB2	2.1	"I've Always Despised SIID, used to get beat up by some guy with the same name. Now both are doomed to the grave. "
VOICE_SLD_AMB3	2.4	"When I get my hands on you SIID, oh just you wait. "
VOICE_SLD_AMB4	2.4	"You talk down on us? Those that sacrificed our blood, sweat and tears to give you, life? By the hand that gave your life now returns clenched to take it away and nothing will stop me. "
VOICE_SLD_ALIEN1	2.1	How hard can it be to kill a big green flying rat?
VOICE_SLD_AXE	2.4	"I have retrieved the axe! Now armed with righteous intent, I will send this metal god back from hence it came. "
VOICE_SLD_CAP1	2.3	Time to take away some of SIID’s energy. 
VOICE_SLD_CAP2	2.4	Time to drain SIIDS control like blood from a corpse. 
VOICE_SLD_DEATH_ENG	2.1	Oh No Eddison is dead? Anyways…
VOICE_SLD_DEATH_CPT	2.3	Seems like I'm the Captain now.
VOICE_SLD_DOOR	2.4	Damn doors! 
VOICE_SLD_EX	2.1	I'l handle fire duty. I don’t mind the smoke like you wimps.
VOICE_SLD_FEAR1	2.2	What’s up with the lights?! 
VOICE_SLD_HACK	2.4	Time to tear up the clanker.
VOICE_SLD_FEAR2	2.3	"I've beat worse than you SIID, you're going down. "
VOICE_SLD_FIRE	2.3	you think a fire is gonna stop me? 
VOICE_SLD_KILL	2.3	"Like taking candy from a baby, but you know? With an axe? ha......."
VOICE_SLD_O2	2.1	Guess I'l go fix the O2 while you 4 hide with your tails between your legs.
VOICE_SLD_TERROR	2.2	I'm trapped here? With these people? I truly am in hell. 
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
